ID	Marmota himalayana	Marmota sibirica	Marmota caudata	Marmota baibacina
C1_83	0	0	94	0
C1_181	0	4	291	149
C1_184	365	3261	9555	7262
C1_214	48	49	14119	1094
C1_338	1	0	1353	163
C1_403	8	2	250	47
C1_600	86	48	261	163
C1_747	0	0	54	0
C1_766	783	42	13567	4074
C1_873	14	28	90	20
C1_897	43	12	1679	133
C1_907	141	91	971	280
C1_950	99	14	325	31
C1_977	0	0	62	0
C1_1124	2	22	104	4
C1_1181	6	0	328	11
C1_1208	2	0	113	0
C1_1256	106	184	3876	1373
C1_1274	12	16	1203	10
C1_1314	0	16	1151	1425
C1_1351	1367	3708	5571	2622
C1_1383	131	32	342	206
C1_1408	30	232	1269	56
C1_1418	13	3	211	7
C1_1454	27	15	492	394
C1_1486	7412	1722	2915	217
C1_1506	142	229	790	59
C1_1528	22	148	224	12
C1_1622	3	30	140	25
C1_1715	3	47	136	108
C1_1848	3588	1229	10306	10438
C1_1853	0	0	80	5
C1_1942	22	6	76	44
C1_1981	4	14	180	0
C1_2062	0	24	80	0
C1_2114	9517	9781	12591	23927
C1_2125	1	3	69	20
C1_2142	4	8	224	52
C1_2145	19	83	788	30
C1_2461	3	14	103	47
C1_2556	17	162	292	14
C1_2664	305	464	3185	2265
C1_2763	20	27	79	6
C1_2846	2	10	671	70
C1_2849	0	0	257	0
C1_2851	23	30	120	2
C1_2861	23	25	247	431
C1_2888	321	1934	6759	4505
C1_2902	0	13	938	0
C1_2946	38	120	669	389
C1_2970	92	100	448	54
C1_3109	145	71	3165	334
C1_3115	18	7	944	955
C1_3165	0	0	112	0
C1_3220	59	105	416	145
C1_3233	2	16	233	175
C1_3235	16	8	270	105
C1_3331	3	1	94	6
C1_3349	5	18	705	93
C1_3354	0	0	785	357
C1_3438	27	10	114605	1835
C1_3470	7	77	2044	1759
C1_3487	1641	2287	8463	5774
C1_3511	201	17	1131	81
C1_3540	2	3	882	2
C1_3714	4	28	217	13
C1_3976	0	14	5491	210
C1_3989	0	6	165	17
C1_4013	0	43	111	13
C1_4126	104	0	188	9
C1_4144	9	6	1408	10
C1_4181	419	788	2579	1224
C1_4220	0	0	58	0
C1_4230	44	254	620	236
C1_4301	19	33	72	2
C1_4358	0	0	12382	0
C1_4461	0	1	69	4
C1_4502	0	0	1476	26
C1_4513	2132	782	110729	5041
C1_4525	491	90	9755	633
C1_4563	236	210	1003	762
C1_4637	8	0	54	0
C1_4654	9	144	3062	10
C1_4733	0	0	137	134
C1_4741	0	0	240	0
C1_4756	18	21	174	60
C1_4811	5	17	561	99
C1_4847	75	9	246	19
C1_4880	0	0	63	0
C1_4986	0	0	125	72
C1_5071	0	2	241	142
C1_5082	25	14	1854	325
C1_5090	202	240	124	10
C1_5094	7	4	10594	1702
C1_5162	116	70	711	13
C1_5179	6	1	1192	13
C1_5258	16	18	2251	505
C1_5290	0	1	710	95
C1_5306	0	0	412	315
C1_5484	34	81	10356	81
C1_5513	0	0	147	46
C1_5540	24	2	1676	22
C1_5553	2	0	7226	166
C1_5564	0	4	1133	43
C1_5572	100	22	4350	98
C1_5589	0	1	87	3
C1_5637	871	380	1737	44
C1_5729	23	12	233	22
C1_5760	756	1536	1431	2920
C1_5775	0	0	190	45
C1_5796	1	17	98	31
C1_5880	0	0	58	4
C1_5982	14	11	1060	2
C1_6001	0	2	1033	0
C1_6038	1	0	159	0
C1_6064	10	1	204	6
C1_6083	12	12	584	126
C1_6094	51	0	71	0
C1_6119	0	4	543	0
C1_6128	0	4	420	56
C1_6145	0	0	264	0
C1_6158	6	2	1720	313
C1_6188	4	4	149	2
C1_6296	308	416	2146	281
C1_6395	0	34	834	285
C1_6465	59	93	153	21
C1_6479	160	311	989	77
C1_6535	89	42	146	6
C1_6559	122	47	1910	833
C1_6600	65	17	88	17
C1_6627	30	19	178	36
C1_6643	0	0	205	0
C1_6653	14	77	421	86
C1_6674	1	14	186	59
C1_6733	0	1	242	2
C1_6737	0	1	2890	385
C1_6817	0	0	95	4
C1_6844	0	0	111	4
C1_6851	32	293	428634	4239
C1_6879	330	317	2452	1863
C1_6894	18	2	71	0
C1_7069	218	194	598	215
C1_7107	39	14	244	32
C1_7127	11	12	10764	151
C1_7147	10	7	246	21
C1_7154	240	285	3524	375
C1_7274	3318	2033	8526	1062
C1_7362	19	0	406	50
C1_7389	2	6	316	0
C1_7420	42	50	267	294
C1_7447	2	6	1525	7
C1_7463	1830	301	1613	90
C1_7536	0	22	12000	12
C1_7551	4	32	105	1
C1_7719	21	49	132	7
C1_7765	0	0	11478	72
C1_7836	33	0	129	27
C1_7840	37	11	169	1
C1_7948	274	341	2810	2075
C1_7956	336	325	557	911
C1_8010	3999	978	34450	665
C1_8013	118	17	710	120
C1_8079	2	21	83	22
C1_8135	0	0	61	0
C1_8180	0	2	223	7
C1_8222	436	114	592	36
C1_8302	22	36	277	228
C1_8369	134	14	338	226
C1_8382	64	17	1671	704
C1_8470	0	0	157	9
C1_8490	123	565	1032	1331
C1_8545	6054	2324	14337	7819
C1_8587	6	0	160	0
C1_8613	6	0	2214	74
C1_8614	45	8	691	73
C1_8643	250	275	413	717
C1_8653	0	44	1047	198
C1_8686	345	154	333	34
C1_8731	0	0	1131	2
C1_8827	0	0	626	0
C1_8829	62	34	219	15
C1_8853	74	0	2246	116
C1_8889	0	0	2991	26
C1_8915	46	89	229	61
C1_8998	753	149	3408	367
C1_9035	38	226	714	52
C1_9048	156	78	278	124
C1_9061	0	0	138	0
C1_9067	3	19	242	308
C1_9112	159	709	2678	2113
C1_9147	4	21	252	237
C1_9164	5253	18935	21088	52563
C1_9173	62	38	939	20
C1_9179	69	119	317	922
C1_9215	0	2	135	2
C1_9237	3	4	370	1
C1_9247	1775	85	146	6
C1_9281	185	157	304	22
C1_9291	41	60	1783	512
C1_9336	0	0	471	5
C1_9352	0	4	310	30
C1_9364	149	613	3134	1677
C1_9538	4	0	6788	481
C1_9601	0	3	252	0
C1_9689	0	0	85	0
C1_9690	3	18	630	11
C1_9713	30	2	4863	91
C1_9736	6	21	1329	373
C1_9741	5	5	293	1
C1_9746	267	112	587	512
C1_9755	3	12	261	17
C1_9774	0	37	5804	14
C1_9782	0	2	192	58
C1_9804	0	0	2532	103
C1_9896	0	6	368	32
C1_9938	2	0	285	0
C1_10019	0	0	81	10
C1_10023	0	0	109	0
C1_10046	1	0	600	4
C1_10104	9	9	563	66
C1_10141	5596	8268	8665	11239
C1_10168	221	222	4469	1653
C1_10176	0	0	291	0
C1_10189	50	63	564	403
C1_10195	229	121	1575	179
C1_10226	4	5	87	3
C1_10235	0	0	183	16
C1_10237	36	520	6068	359
C1_10273	0	0	8035	0
C1_10301	1718	1535	4292	2828
C1_10319	2	0	358	27
C1_10338	52	48	1447	6
C1_10339	0	0	164	1
C1_10369	432	662	145	119
C1_10382	0	0	149	1
C1_10447	1028	1165	5751	3490
C1_10470	47	18	158	2
C1_10473	21	0	263	0
C1_10568	99	110	1447	880
C1_10587	0	0	402	0
C1_10596	0	1	84	0
C1_10636	11	0	463	0
C1_10671	0	4	87	0
