X3	M5	M1	X5	C1	X4	M3	X6	H4	C3	M2	H6	H1	C4	H5	X2	H2	C2	M6	C6	H3	X1	C5	M4
X3	0	0.883523235075246	0.891433519462509	0.874431611912518	0.917110291061211	0.884008285008628	0.808457699789704	0.67413097498715	0.924400349905252	0.909050609220969	0.880054087218928	0.95293600241183	0.860312575775621	0.949921353439937	0.880990358119544	0.749053424253371	0.89977290039433	0.947439730016325	0.874105095140761	0.925110921109333	0.926713794123594	0.853890956123775	0.857899239783766	0.903864672369131
M5	0.883523235075246	0	0.785956424693303	0.833580534990126	0.867873295172693	0.853587740802205	0.742219789503004	0.850919111727804	0.904970450823782	0.872472254785095	0.814594606453001	0.917655488981056	0.844618884466486	0.928359404995745	0.933502362808116	0.83646716442619	0.852477907372132	0.918557111931307	0.645310488561089	0.891128248557081	0.897587182250497	0.780769907729882	0.891703361579126	0.749195820891399
M1	0.891433519462509	0.785956424693303	0	0.783833411749421	0.791946551545045	0.769662122091139	0.712480390117784	0.845885242447905	0.881997114446942	0.843980923010809	0.577834613832042	0.875417440263567	0.679621448435481	0.906181178993452	0.91713315734378	0.801681620442385	0.692684330717187	0.896660969385349	0.728907552146146	0.856926094814092	0.806921034682636	0.760215265075702	0.845942337449892	0.722383287172538
X5	0.874431611912518	0.833580534990126	0.783833411749421	0	0.841331668932608	0.749538243643392	0.788015552513833	0.591574710070638	0.919462323888345	0.860517486254986	0.814226649393857	0.910578334058641	0.805156268290861	0.909898331325011	0.948074574152905	0.737954932598602	0.825864246322114	0.911468589340256	0.812881469133513	0.843695299193827	0.874257002191227	0.718746821292637	0.886511023684775	0.822480455184713
C1	0.917110291061211	0.867873295172693	0.791946551545045	0.841331668932608	0	0.839522979355972	0.825689309240735	0.873443666857762	0.847162016453753	0.771062857163413	0.815140440849043	0.853857220932936	0.7337293533694	0.86152969943045	0.893641089417648	0.870166219990333	0.743791071607077	0.836833494386182	0.831532243213921	0.791692641769895	0.800227915233542	0.818018775392455	0.786551164009691	0.858139686227691
X4	0.884008285008628	0.853587740802205	0.769662122091139	0.749538243643392	0.839522979355972	0	0.802747243805133	0.844127094982173	0.904118293360534	0.871672756391679	0.775828640554961	0.899999169169471	0.773078383939679	0.915255697898124	0.936432644576432	0.767849593452518	0.7818378216408	0.912938776012401	0.820201589284456	0.87414822166568	0.839695733357522	0.759526186003924	0.868973863583084	0.81943943360767
M3	0.808457699789704	0.742219789503004	0.712480390117784	0.788015552513833	0.825689309240735	0.802747243805133	0	0.816850159630976	0.886374743707635	0.82726488643211	0.718664900965942	0.890910499011084	0.785623711664612	0.895961518573329	0.922570974838938	0.75058671048502	0.796509318580067	0.904798820168875	0.721533847458122	0.848075124947433	0.847548916977151	0.767934861048484	0.861352208485273	0.770893489160535
X6	0.67413097498715	0.850919111727804	0.845885242447905	0.591574710070638	0.873443666857762	0.844127094982173	0.816850159630976	0	0.920971665522308	0.876196902076317	0.843520450111155	0.938959885803114	0.860057005832525	0.913977527293941	0.942248965306091	0.833352108519925	0.87476271501489	0.919779212386147	0.839116261036854	0.851968891126186	0.915065584455623	0.778129888219138	0.905076096394974	0.86991631598216
H4	0.924400349905252	0.904970450823782	0.881997114446942	0.919462323888345	0.847162016453753	0.904118293360534	0.886374743707635	0.920971665522308	0	0.863565871852338	0.850081724453595	0.75682085010352	0.788373036219856	0.879316495831877	0.731035452234942	0.928320112988122	0.761984830173887	0.885422403780497	0.892661635667899	0.851720331189356	0.777544924103555	0.88345201129388	0.804388159908439	0.921536301215626
C3	0.909050609220969	0.872472254785095	0.843980923010809	0.860517486254986	0.771062857163413	0.871672756391679	0.82726488643211	0.876196902076317	0.863565871852338	0	0.856801804033855	0.87004952890089	0.787512140785014	0.859561671639518	0.897454108802835	0.873661888123234	0.799781415565186	0.744999822132223	0.854046518574154	0.778345678067766	0.840437590269905	0.845613411828361	0.811061402457646	0.881380685765965
M2	0.880054087218928	0.814594606453001	0.577834613832042	0.814226649393857	0.815140440849043	0.775828640554961	0.718664900965942	0.843520450111155	0.850081724453595	0.856801804033855	0	0.85803507583659	0.655127424345843	0.899716928295641	0.894896975658691	0.842668533465765	0.631959940528436	0.912296116628116	0.770455378723186	0.864472479926873	0.779637251276208	0.774857085933752	0.830933529567409	0.774650321598353
H6	0.95293600241183	0.917655488981056	0.875417440263567	0.910578334058641	0.853857220932936	0.899999169169471	0.890910499011084	0.938959885803114	0.75682085010352	0.87004952890089	0.85803507583659	0	0.817571790870148	0.908382454711427	0.786606855815336	0.923158467631496	0.806704545044853	0.883404839270111	0.907363010771415	0.8747364292401	0.816547549943375	0.904374208650973	0.854106940270918	0.912201008364028
H1	0.860312575775621	0.844618884466486	0.679621448435481	0.805156268290861	0.7337293533694	0.773078383939679	0.785623711664612	0.860057005832525	0.788373036219856	0.787512140785014	0.655127424345843	0.817571790870148	0	0.870907718732319	0.811563237876135	0.832719726860157	0.384276122643986	0.856163664679025	0.804106542077686	0.808868804693461	0.624196749094925	0.788145163812749	0.726495098948991	0.809907817362256
C4	0.949921353439937	0.928359404995745	0.906181178993452	0.909898331325011	0.86152969943045	0.915255697898124	0.895961518573329	0.913977527293941	0.879316495831877	0.859561671639518	0.899716928295641	0.908382454711427	0.870907718732319	0	0.909367085753045	0.939446508633187	0.86611496884867	0.883616757035357	0.917849324416692	0.812273078825155	0.881279097215505	0.878557651520148	0.868039428853431	0.931931482354666
