Contig	X3	M5	M1	X5	C1	X4	M3	X6	H4	C3	M2	H6	H1	C4	H5	X2	H2	C2	M6	C6	H3	X1	C5	M4
C1_10019	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	10	4	0	0	0	0	0	0
C1_10023	0	0	0	0	98	0	0	0	0	0	0	0	0	7	0	0	0	2	0	0	0	0	2	0
C1_10046	0	0	0	0	335	0	0	0	0	0	0	0	2	0	0	0	0	71	0	18	2	1	176	0
C1_10104	0	0	4	0	267	0	0	0	23	2	0	0	2	2	12	0	19	32	4	170	10	9	90	1
C1_10141	0	486	2021	2909	1461	2183	1173	129	349	3236	2483	39	8822	768	474	198	1400	2006	1631	218	155	177	976	474
C1_10168	4	8	71	12	1440	154	35	9	525	864	47	150	154	922	425	18	124	288	22	66	275	24	889	39
C1_10176	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_10189	0	1	22	10	454	0	9	0	13	3	0	0	221	10	0	4	154	90	28	0	15	36	7	3
C1_10195	0	0	98	92	471	8	4	30	12	29	12	0	99	134	0	60	15	936	7	5	53	39	0	0
C1_10226	0	2	2	2	61	1	0	0	0	24	0	0	3	0	0	0	0	1	0	1	0	1	0	1
C1_10235	0	0	0	0	102	0	0	0	2	30	0	6	0	0	8	0	0	3	0	17	0	0	31	0
C1_10237	0	68	81	4	4670	7	116	0	163	91	18	77	28	10	4	0	64	340	165	256	23	25	701	72
C1_10273	0	0	0	0	8031	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
C1_10301	2	129	272	189	1440	1336	229	25	265	1531	519	32	731	91	76	59	1448	159	151	101	276	107	970	235
C1_10319	0	0	0	0	219	0	0	0	2	52	0	2	15	33	2	2	6	13	0	20	0	0	21	0
C1_10338	0	0	42	23	1431	0	0	0	0	16	4	0	0	0	0	0	0	0	2	0	6	29	0	0
C1_10339	0	0	0	0	162	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0
C1_10369	0	107	63	34	117	33	43	9	0	12	14	0	83	0	0	292	24	2	220	8	12	64	6	215
C1_10382	0	0	0	0	128	0	0	0	0	21	0	0	0	0	0	0	1	0	0	0	0	0	0	0
C1_10447	2	244	324	47	403	857	185	15	366	1748	151	110	310	341	1953	27	433	220	72	147	318	80	2892	189
C1_10470	0	6	3	38	144	0	9	0	0	1	0	0	2	1	0	9	0	4	0	8	0	0	0	0
C1_10473	0	0	0	0	263	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_10568	1	4	18	14	705	59	14	0	34	78	20	0	435	34	275	12	110	285	49	61	26	13	284	5
C1_10587	0	0	0	0	349	0	0	0	0	28	0	0	0	0	0	0	0	0	0	24	0	0	1	0
C1_10596	0	0	0	0	78	0	1	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0
C1_10636	0	0	0	0	58	0	0	11	0	10	0	0	0	0	0	0	0	33	0	0	0	0	362	0
C1_10671	0	0	4	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_10718	0	4	10	0	50	12	2	0	0	13	0	0	0	0	0	8	3	15	0	0	0	0	0	7
C1_10875	0	0	0	50	4024	2	51	0	0	40	0	1	11	252	0	43	7	24	0	239	5	1	22	2
C1_10908	0	0	0	0	3865	0	0	0	0	11	0	0	30	0	17	0	5	42	1	16	1	0	0	0
C1_10912	0	0	6	2	21713	0	1	0	623	11	0	2745	0	21611	1197	0	7	1699	0	3746	1948	0	1840	0
C1_10919	0	2	3	0	270	23	0	3	47	19	0	0	11	29	0	1	50	5	1	12	29	8	36	0
C1_11015	0	0	1	0	92	0	0	0	39	67	0	12	41	0	15	0	21	9	0	0	13	0	0	0
C1_11034	0	0	22	0	141	6	2	0	0	20	8	0	25	0	0	6	4	14	2	16	0	2	4	4
C1_11175	0	0	0	6	528	15	0	4	2	4	0	0	25	243	40	2	19	19	5	25	7	2	11	0
C1_1124	0	10	4	0	88	0	0	0	0	2	0	0	0	0	0	2	4	12	0	0	0	0	2	8
C1_11254	0	0	0	1	487	0	2	0	0	0	0	0	0	0	0	0	2	81	8	0	0	2	13	2
C1_11306	0	0	0	0	4235	0	0	0	0	0	0	0	0	0	0	0	0	390	0	0	0	0	0	0
C1_11339	0	0	0	0	69	2	0	0	11	0	0	0	0	0	0	0	0	0	3	0	6	0	17	0
C1_11395	0	0	0	2	80	0	0	0	2	63	0	2	15	0	20	0	6	159	0	22	26	0	0	0
C1_11439	0	0	0	0	671	0	0	0	6	35	0	0	3	0	0	0	14	2	0	0	116	0	0	0
C1_11441	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_11474	0	2	1	2	185	2	0	0	20	8	0	0	10	4	30	0	13	27	4	2	9	0	18	0
C1_11482	0	0	0	4	191	4	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0
C1_11490	0	0	15	3	140	2	2	14	0	3	0	0	12	16	0	1	1	5	33	2	0	2	0	13
C1_11506	0	57	451	218	600	303	113	17	97	396	207	82	791	226	91	127	710	106	103	101	394	144	598	165
C1_11631	0	0	0	0	3513	0	0	0	0	0	0	0	6	0	0	0	0	544	0	343	0	0	0	0
C1_11639	0	4	13	42	13742	0	24	7	16	2774	66	1438	190	364	447	2	102	3620	15	99	5	30	23	1
C1_11678	2	46	438	97	7950	245	98	11	278	2078	260	161	1783	185	78	157	2380	964	103	670	1537	65	659	379
C1_11701	0	7	11	35	194	28	4	1	13	21	3	36	38	9	22	24	22	37	27	12	14	18	8	5
C1_11764	0	0	4	3	233	0	0	0	0	110	0	55	30	67	0	0	2	21	0	64	0	0	20	0
C1_11791	0	13	3	0	963	16	6	0	780	691	1	28	855	187	329	10	536	62	9	72	530	6	338	7
C1_11801	0	0	0	0	582	0	0	0	2	14	0	0	4	0	6	0	2	2	0	0	0	0	0	1
C1_1181	0	0	0	0	278	4	0	0	5	49	0	0	0	0	0	0	1	1	0	0	5	2	0	0
C1_11848	0	9	4	12	4301	0	7	6	10	9	1	0	15	1	56	1	128	45	4	13	47	7	44	3
C1_11876	0	19	20	2	920	6	2	0	500	485	2	46	488	252	481	0	359	550	39	211	597	6	714	22
C1_11969	0	0	0	15	2785	0	0	0	0	73	0	0	2	0	0	3	0	0	57	0	0	0	0	4
C1_1208	0	0	0	0	104	0	0	0	0	5	0	0	0	0	0	0	0	0	0	4	0	2	0	0
C1_12123	0	0	0	0	379	0	0	0	0	6	0	0	36	2	1	4	0	0	0	0	0	10	0	0
C1_12133	0	3	1	0	108	0	0	0	5	15	0	2	7	0	0	0	17	17	0	0	0	0	0	0
C1_12187	3	80	144	72	30777	87	300	11	23	158797	10	599	34	45	36	130	58	184	64	30	18	92	1183	160
C1_12207	0	0	10	19	613	6	4	0	27	148	3	3	108	1607	18	25	61	55	0	45	6	0	90	3
C1_12212	0	0	0	0	752	0	0	0	131	11	0	43	166	3	114	0	128	4	0	4	154	0	145	0
C1_12228	0	0	2	0	816	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
C1_12291	0	0	0	0	48	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0
C1_12321	0	48	66	3	24657	3	20	0	218	1566	16	4	385	49	429	18	271	300	26	354	88	3	313	13
C1_12324	0	0	0	14	1457	1	0	0	54	22	0	59	14	0	30	0	5	13	1	0	15	1	11	3
C1_12351	0	0	0	4	92	0	0	0	0	2	0	0	0	0	0	1	2	2	0	0	0	0	0	0
C1_12385	0	0	2	0	905	0	0	0	157	4	0	48	15	0	143	6	2	215	0	0	10	1	1	0
C1_12438	0	108	640	544	5396	149	260	28	148	2013	866	507	1580	145	247	18	179	759	176	307	12	16	1208	46
C1_1256	0	21	43	15	2883	21	25	8	288	235	35	10	222	156	285	28	229	205	26	211	339	34	186	34
C1_12569	0	0	11	1	814	6	3	0	1	27	29	0	6	1	3	1	23	1149	4	9	0	10	2	0
C1_12634	0	0	0	4	71	50	0	0	0	15	0	0	14	3	0	0	10	9	0	6	0	7	0	2
C1_12695	0	0	0	0	62	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0
C1_12728	0	7	18	8	546	0	16	0	416	1002	2	290	77	102	34	0	15	3371	3	110	2	3	4	47
C1_1274	0	0	11	5	1195	0	2	0	2	8	1	0	0	0	0	0	2	0	2	0	6	7	0	0
C1_12767	0	131	80	14	915	56	52	4	373	610	22	5	510	190	383	55	296	527	325	179	486	37	456	230
C1_12784	0	0	8	0	8121	0	0	0	71	8027	3	1	0	263	1	0	59	213	0	2536	472	0	139	0
C1_12838	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_12889	0	0	2	9	228	6	7	0	0	12	12	0	2	39	0	3	3	1	15	15	0	3	4	0
C1_13018	0	0	0	0	92	10	0	0	0	3	0	0	12	0	0	0	10	6	0	2	0	5	0	0
C1_13026	0	8	200	33	17797	173	14	13	0	104	31	0	24	2	6	12	16	27	5	49	31	24	24	33
C1_13041	0	0	0	0	245	0	0	2	0	0	0	0	3	0	0	16	0	0	0	4	2	21	0	4
C1_13098	0	0	0	0	81	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0
C1_1314	0	0	2	0	623	0	0	0	1045	87	14	3	20	79	312	0	35	113	0	128	10	0	121	0
C1_13233	0	0	11	0	8308	0	0	0	9	408	0	0	4	3	7	0	0	0	0	3	0	0	1074	0
C1_13246	9	23	37	100	314	37	64	15	0	88	171	0	2	151	0	356	11	2	26	75	2	4	1	37
C1_13447	0	6	17	0	120	11	2	0	2	41	3	0	37	22	2	8	9	62	19	4	0	2	0	23
C1_13456	6	16	40	100	756	293	21	26	2	25	32	0	39	27	1	42	64	75	37	15	16	130	23	20
C1_13507	0	0	0	0	101	0	0	0	0	28	0	0	0	0	0	0	0	61	0	0	0	0	0	0
C1_1351	5	194	294	510	2084	73	2250	70	949	400	31	38	954	1890	164	226	429	758	182	102	88	483	337	757
C1_13527	0	0	0	0	140	0	17	0	0	0	0	0	2	4	0	0	7	0	0	159	3	0	0	0
C1_13633	0	11	4	11	167	2	2	2	0	37	1	0	75	7	7	3	47	47	4	12	19	12	3	2
C1_13680	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_13720	0	0	0	0	179	0	0	0	4	0	0	69	28	3	51	0	4	34	0	34	0	0	1	0
C1_13737	0	4	0	0	8573	0	0	0	243	1969	0	0	27	1	32	0	9	140	0	449	7	0	15	5
C1_13742	2	5	38	21	561	19	44	0	0	15	2	0	188	0	0	20	105	7	101	0	4	18	0	8
C1_13769	0	6	10	10	124	8	20	5	0	19	38	0	0	13	0	105	3	0	15	18	0	0	0	2
C1_13827	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_1383	0	2	8	48	240	59	1	8	2	4	0	0	113	8	0	5	75	89	0	1	16	11	0	21
C1_1408	0	153	8	0	683	0	17	0	0	85	48	0	24	50	8	0	22	52	4	399	2	30	0	2
C1_1418	2	1	2	0	208	0	0	1	0	0	0	0	4	0	0	10	2	1	0	2	1	0	0	0
C1_14233	0	67	69	95	2433	92	10	5	6	86	2	16	134	143	8	86	33	150	135	105	3	103	0	234
C1_14237	0	4	2	6	143	2	0	2	51	77	8	10	27	571	39	16	54	84	8	106	27	10	36	0
C1_14285	0	25	0	8	110	27	12	0	130	27	0	6	117	50	92	8	58	113	31	29	190	7	80	6
C1_14357	0	1	0	1	50	2	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0
C1_14407	0	7	8	6	292	29	4	0	522	16	0	10	14	273	37	9	66	31	17	34	14	13	170	0
C1_14422	2	0	39	24	593	266	0	5	0	379	2	0	507	53	0	8	201	103	8	59	43	8	8	0
C1_14433	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1_14478	1	4	2	5	132	88	0	0	0	6	1	0	8	2	0	1	11	32	13	1	0	16	3	0
C1_1454	0	4	0	0	280	6	3	0	84	14	0	1	23	43	133	17	101	90	8	16	52	4	49	0
C1_14573	0	1	9	0	33	0	0	0	0	0	0	0	2	10	0	0	0	7	4	0	0	0	0	3
C1_14578	0	0	0	0	76	0	2	0	0	10	0	0	0	0	0	1	3	4	0	30	0	0	0	0
C1_14585	0	0	0	0	350	0	0	0	6	29	0	0	2	0	0	0	2	3	0	0	8	0	0	0
C1_14598	0	0	0	0	249	0	0	0	0	11	0	0	0	40	2	0	0	0	0	0	0	0	0	0
C1_14660	0	22	63	43	1290	264	67	19	818	941	16	143	1024	495	736	39	478	182	39	95	1962	36	764	38
C1_14679	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
C1_14712	0	0	0	0	638	0	0	0	0	14	0	0	132	0	0	0	28	12	0	0	0	0	0	0
C1_14736	0	5	108	174	1058	137	4	13	0	86	4	0	55	109	0	54	41	31	59	436	11	15	0	12
C1_14787	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C1_14796	0	2	1	0	59	0	0	0	26	20	0	0	21	266	4	0	36	26	0	79	51	2	25	2
C1_14817	11	232	435	742	5007	470	270	166	73	234	24	0	2895	13568	0	182	2255	432	181	113	113	2516	9	36
C1_1486	0	67	597	5321	384	219	303	1163	2	582	59	0	143	839	0	12	72	386	204	717	0	697	7	492
C1_14894	0	0	0	0	23	0	0	0	0	0	0	0	0	2	42	0	0	7	0	25	0	0	6	0
C1_14936	0	0	0	10	172	0	2	0	4	98	0	0	3	12	3	6	3	4	0	24	2	0	34	0
C1_14982	2	0	0	4	95	10	2	0	2	44	0	0	25	3	0	8	2	22	0	6	2	0	2	7
C1_15034	1	0	72	95	222	3	5	18	0	16	4	0	112	124	0	47	10	497	0	8	37	13	0	0
C1_15043	0	97	78	11	509	78	59	2	328	539	11	22	257	99	350	41	170	234	268	134	273	56	296	125
C1_15053	0	0	0	0	306	0	0	0	0	0	0	0	0	20	0	0	1	4	0	4	1	0	46	0
C1_1506	0	98	17	55	719	5	22	8	0	29	9	1	2	1	48	20	8	9	21	32	0	54	0	62
C1_15104	0	0	0	0	554	0	44	0	41	4	0	10	17	17	48	0	39	45	6	52	6	0	18	0
C1_15123	0	31	537	5	9459	50	166	4	12	1575	449	9	2123	90	84	28	442	153	112	71	86	38	411	175
C1_15146	0	0	0	0	365	0	0	0	0	0	0	0	1	0	5	0	0	194	0	6	0	0	0	0
